"Year","ConditionID","Validity","SelectionRatio","Turnover","FirePerc","Reliability","Mean","SD"
17,10,0.3,0.1,0.1,0.05,0.7,0.0245583996272983,0.0988541151190118
18,10,0.3,0.1,0.1,0.05,0.7,0.0300230931537465,0.0989397683508862
19,10,0.3,0.1,0.1,0.05,0.7,0.0240245942512944,0.0951448136369034
20,10,0.3,0.1,0.1,0.05,0.7,0.0176332747891599,0.100305257847468
21,10,0.3,0.1,0.1,0.05,0.7,0.0155922967151224,0.100029090492428
22,10,0.3,0.1,0.1,0.05,0.7,0.0157505958983052,0.10424791141571
23,10,0.3,0.1,0.1,0.05,0.7,0.0227141919020327,0.101778137239695
24,10,0.3,0.1,0.1,0.05,0.7,0.0247032304368583,0.10018978772188
25,10,0.3,0.1,0.1,0.05,0.7,0.0204590765667431,0.098631294886544
26,10,0.3,0.1,0.1,0.05,0.7,0.021834917932153,0.0954834308870129
27,10,0.3,0.1,0.1,0.05,0.7,0.0190257237965476,0.0942269239892852
28,10,0.3,0.1,0.1,0.05,0.7,0.0164451252309277,0.0990762752037926
29,10,0.3,0.1,0.1,0.05,0.7,0.0238010958314476,0.0951399634021282
30,10,0.3,0.1,0.1,0.05,0.7,0.0227679044049652,0.100060337887188
1,11,0.3,0.1,0.1,0.1,0.5,0.00048185348768336,0.108722563827543
2,11,0.3,0.1,0.1,0.1,0.5,0.00480489490294893,0.102497710394378
3,11,0.3,0.1,0.1,0.1,0.5,0.00589977823346656,0.0974317630366705
4,11,0.3,0.1,0.1,0.1,0.5,0.00225602643778731,0.0963403428421047
5,11,0.3,0.1,0.1,0.1,0.5,0.00887682757940604,0.0995658956484311
6,11,0.3,0.1,0.1,0.1,0.5,0.0131240437173439,0.101141212449704
7,11,0.3,0.1,0.1,0.1,0.5,0.0166118862091221,0.107505709910653
8,11,0.3,0.1,0.1,0.1,0.5,0.0149388324356055,0.103403059437708
9,11,0.3,0.1,0.1,0.1,0.5,0.0160096299095649,0.103731835392089
10,11,0.3,0.1,0.1,0.1,0.5,0.0142553834766327,0.102476537745061
11,11,0.3,0.1,0.1,0.1,0.5,0.0128683563427794,0.09573369632503
12,11,0.3,0.1,0.1,0.1,0.5,0.00912256637340544,0.0995322259188986
13,11,0.3,0.1,0.1,0.1,0.5,0.00339304027285832,0.0924179449109205
14,11,0.3,0.1,0.1,0.1,0.5,0.0109797607672401,0.0903008454681106
15,11,0.3,0.1,0.1,0.1,0.5,0.0133752651001504,0.0963281068010561
16,11,0.3,0.1,0.1,0.1,0.5,0.0147925325700435,0.105232729245444
17,11,0.3,0.1,0.1,0.1,0.5,0.0108378435575827,0.10096936690955
18,11,0.3,0.1,0.1,0.1,0.5,0.00650393918358874,0.101646881668467
19,11,0.3,0.1,0.1,0.1,0.5,0.00414823112762773,0.0994880029690701
20,11,0.3,0.1,0.1,0.1,0.5,-0.00172857473420623,0.102559856970379
21,11,0.3,0.1,0.1,0.1,0.5,-0.00130497845267032,0.10785749146811
22,11,0.3,0.1,0.1,0.1,0.5,-0.00325516548010143,0.108798084770638
23,11,0.3,0.1,0.1,0.1,0.5,-0.0106481257988977,0.1063885040523
24,11,0.3,0.1,0.1,0.1,0.5,-0.0076615343746486,0.10672864347244
25,11,0.3,0.1,0.1,0.1,0.5,-0.00450588404062821,0.109326105931565
26,11,0.3,0.1,0.1,0.1,0.5,-0.00778532160331164,0.110089190978984
27,11,0.3,0.1,0.1,0.1,0.5,-0.0105700148029159,0.102465085703893
28,11,0.3,0.1,0.1,0.1,0.5,-0.0168810168495532,0.094576205558092
29,11,0.3,0.1,0.1,0.1,0.5,-0.00601503039506281,0.0932836250763605
30,11,0.3,0.1,0.1,0.1,0.5,-0.00568494560155385,0.0910130361384573
1,12,0.3,0.1,0.1,0.1,0.7,-0.0122643142179642,0.109264989179856
2,12,0.3,0.1,0.1,0.1,0.7,-0.00757120122546699,0.112986389521932
3,12,0.3,0.1,0.1,0.1,0.7,-0.00562143589862628,0.112759330035034
4,12,0.3,0.1,0.1,0.1,0.7,-0.00660455886701928,0.10943606221896
5,12,0.3,0.1,0.1,0.1,0.7,-0.00624470708795777,0.105544963033852
